,,,,,,,,,,,
序号,英文,中文释义,第一次背默,,,第二次背默,,,第三次背默,,
953,either way,"不管怎样,无论以哪种方式",,,,,,,,,
954,elder,adj.年龄较大的,,,,,,,,,
955,my elder brother/ sister,我的哥哥/姐姐,,,,,,,,,
956,elderly,"adj.年长的,年老的,上了年纪的",,,,,,,,,
957,the elderly,老年人,,,,,,,,,
958,elect,vt.选举; v.选择,,,,,,,,,
959,elect sb (as) monitor,选某人当班长,,,,,,,,,
960,election,n.选举,,,,,,,,,
961,elect to do,选择做某事,,,,,,,,,
962,electric,"adj.电的,用电的,电动的",,,,,,,,,
963,an electric light,电灯,,,,,,,,,
964,an electric vehicle,电动车,,,,,,,,,
965,electrical,"adj.电的,与电有关的",,,,,,,,,
966,an electrical engineer,电气工程师,,,,,,,,,
967,electrical appliances,电器,,,,,,,,,
968,electricity,n.电,,,,,,,,,
969,electrician,"n.电工,电气技师",,,,,,,,,
970,electronic,adj.电子的,,,,,,,,,
971,an electronic dictionary,电子词典,,,,,,,,,
972,elegant,"adj.优雅的,典雅的",,,,,,,,,
973,element,"n.要素,成分,因素; n.[化学]元素",,,,,,,,,
974,elephant,"n.象,大象",,,,,,,,,
975,embarrass,"vt.使尴尬,使局促不安",,,,,,,,,
976,embarrassed,adj.感到尴尬的,,,,,,,,,
977,be embarrassed about ...,对……感到尴尬,,,,,,,,,
978,be embarrassed to do,对做某事感到尴尬,,,,,,,,,
979,embarrassing,adj.令人尴尬的,,,,,,,,,
980,embarrassment,n.尴尬,,,,,,,,,
981,emerge,"vi.浮现,出现,显露; vi.(从困境中)摆脱出来",,,,,,,,,
982,emerge from one's divorce,走出离婚的阴影,,,,,,,,,
983,emergency,n.紧急情况,,,,,,,,,
984,in an emergency,在紧急情况下,,,,,,,,,
985,an emergency hospital/ ward,急诊医院/病房,,,,,,,,,
986,an emergency meeting,紧急会议,,,,,,,,,
987,an emergency exit,应急出口,,,,,,,,,
988,emotion,"n.情感,情绪",,,,,,,,,
989,emotional,"adj.①情感的,情绪的;②情绪化的",,,,,,,,,
990,emperor,"n.皇帝,君主",,,,,,,,,
991,emphasis,"n.强调,着重",,,,,,,,,
992,put/ place/ lay emphasis on ...,强调……,,,,,,,,,
993,emphasize,"vt.强调,着重",,,,,,,,,
994,"emphasize sth, emphasize that ...",强调……,,,,,,,,,
995,employ,vt.使用; vt.雇佣,,,,,,,,,
996,employ a new method,使用新的方法,,,,,,,,,
997,employ sb to do,雇佣某人做某事,,,,,,,,,
998,employ sb as ...,雇佣某人担任……,,,,,,,,,
999,employee,n.雇员,,,,,,,,,
1000,employer,"n.雇主,老板",,,,,,,,,
1001,employment,"n.使用; n.雇用,就业",,,,,,,,,
1002,unemployed,adj.失业的,,,,,,,,,
1003,in employment,[表状态]有工作,,,,,,,,,
1004,out of employment,"[表状态]失业,没工作",,,,,,,,,
1005,empty,"adj.空的; v.(使)变空; vi.(河流)流入,注入",,,,,,,,,
1006,be empty of ...,没有……,,,,,,,,,
1007,empty the fridge,清空冰箱,,,,,,,,,
1008,enable,vt.使能够,,,,,,,,,
1009,enable sb to do,使某人能够做某事,,,,,,,,,
1010,enclose,"vt.把...附入,封入; vt.围住,包住",,,,,,,,,
1011,enclose sth with the letter,随信附上某物,,,,,,,,,
1012,the enclosed,(信件内所封入的)附件,,,,,,,,,
1013,enclose the garden with the fences,用栅栏把花园围起来,,,,,,,,,
1014,enclosure,n.①附件;②围住;③围地,,,,,,,,,
1015,encounter,"vt./n.偶遇,邂逅(某人); vt./n.遭到,遭遇(某事)",,,,,,,,,
1016,encounter a tricky problem,遇到棘手问题,,,,,,,,,
1017,encourage,vt.鼓励,,,,,,,,,
1018,encourage doing,鼓励做某事,,,,,,,,,
1019,encourage sb to do sth,鼓励某人做某事,,,,,,,,,
1020,encouraged,adj.受到鼓励的,,,,,,,,,
1021,encouraging,adj.鼓舞人心的,,,,,,,,,
1022,encouragement,n.鼓励,,,,,,,,,
1023,end,"v./n.结束,终止; n.末端,尽头; n.目标",,,,,,,,,
1024,at the end of ...,在……的最后,,,,,,,,,
1025,in the end,"最终,终于",,,,,,,,,
1026,end my lecture with a poem,用首诗来结束我的讲座,,,,,,,,,
1027,bring my lecture to an end with a poem,用首诗来结束我的讲座,,,,,,,,,
1028,bring/ put an end to my lecture with a poem,用首诗来结束我的讲座,,,,,,,,,
1029,end in ...,"①以……结尾, 末尾是……; ②与抽象名词搭配(如: 失败, 成功, 死亡等)",,,,,,,,,
1030,end in failure,以失败告终,,,,,,,,,
1031,end in victory,以胜利告终,,,,,,,,,
1032,end in death,以死亡告终,,,,,,,,,
1033,end up in+地点,以住院告终,,,,,,,,,
1034,end up in hospital,以住院告终,,,,,,,,,
1035,end up in prison,以坐牢告终,,,,,,,,,
1036,end up with+ sth,以……告终,,,,,,,,,
1037,end up with a decent job,最终找到个体面工作,,,,,,,,,
1038,end up+ doing sth,以做某事告终,,,,,,,,,
1039,end up being cheated,最终被骗了,,,,,,,,,
1040,on end,连续不断地,,,,,,,,,
1041,the end result,最终结果,,,,,,,,,
1042,make(both) ends meet,使收支平衡,,,,,,,,,
1043,without end,无穷尽地,,,,,,,,,
1044,endlessly,无穷尽地,,,,,,,,,
1045,high-end,adj.高端的,,,,,,,,,
1046,endurance,"n.忍力,忍耐力,持久力",,,,,,,,,
1047,endure,"v.忍耐,忍受,容忍;持久,持续",,,,,,,,,
1048,endure to do/ doing,忍受做某事,,,,,,,,,
1049,enemy,n.敌人,,,,,,,,,
1050,energy,"n.[U]能源,能量; n.①[C]精力;②[U]活力,干劲",,,,,,,,,
1051,clean energy,清洁能源,,,,,,,,,
1052,nuclear energy,核能,,,,,,,,,
1053,solar energy,太阳能,,,,,,,,,
1054,wind energy,风能,,,,,,,,,
1055,consume energy,消耗能源,,,,,,,,,
1056,"save energy, conserve energy",节约能源,,,,,,,,,
1057,be full of energy,精力充沛,,,,,,,,,
1058,energetic,adj.精力充沛的,,,,,,,,,
1059,engage,"vt.使忙于; vt./ vi.参与,从事; v.订婚; vt.聘用; vt.吸引(注意力,兴趣); 建立密切关系",,,,,,,,,
1060,be engaged in the work,忙于工作,,,,,,,,,
1061,be engaged in/ engage in the activity,参与活动,,,,,,,,,
1062,be engaged to sb,与某人订婚,,,,,,,,,
1063,engage sb as general manager,聘用某人为总经理,,,,,,,,,
1064,engage sb to do,聘用某人做某事,,,,,,,,,
1065,engage one's attention,吸引某人的注意力,,,,,,,,,
1066,engage one's interest,吸引某人的兴趣,,,,,,,,,
1067,engage with,与……建立密切关系,,,,,,,,,
1068,engagement,n.①参与;②订婚;③雇佣;④密切关系,,,,,,,,,
1069,engine,"n.引擎,发动机",,,,,,,,,
1070,a fire engine,消防车,,,,,,,,,
1071,engineer,n.工程师; vt.(工程)设计,,,,,,,,,
1072,engineer a bridge,设计一座桥,,,,,,,,,
1073,engineering,"n.工程,工程学",,,,,,,,,
1074,English,n.英语; adj.英国人的;英国的;英语的,,,,,,,,,
1075,British English,英式英语,,,,,,,,,
1076,American English,美式英语,,,,,,,,,
1077,enhance,"vt.提高,加强",,,,,,,,,
1078,enjoy,"vt.欣赏,享受",,,,,,,,,
1079,enjoy doing,享受做某事,,,,,,,,,
1080,enjoy oneself,玩得愉快,,,,,,,,,
1081,enjoyment,n.享受,,,,,,,,,
1082,enjoyable,"adj.令人愉快的,令人享受的",,,,,,,,,
1083,enormous,adj.巨大的,,,,,,,,,
1084,enough,adv.足够的,,,,,,,,,
1085,ensure,"vt.保证,确保",,,,,,,,,
1086,"ensure sth, ensure that ...",确保……,,,,,,,,,
1087,ensure sb sth,确保某人某物,,,,,,,,,
1088,enter,vt.进入; vi.参加,,,,,,,,,
1089,enter for ...,报名参加……,,,,,,,,,
1090,enter upon one's new vocation,开始做某人的新工作,,,,,,,,,
1091,enterprise,"n.公司,企业",,,,,,,,,
1092,entertainment,"n.招待,款待; n.娱乐",,,,,,,,,
1093,entertaining,adj.令人愉快的,,,,,,,,,
1094,entertain,"vt.①招待,款待(某人);②给……娱乐",,,,,,,,,
1095,entertain sb with sth,用……使某人获得快乐,,,,,,,,,
1096,enthusiastic,adj.充满热情的,,,,,,,,,
1097,enthusiasm,n.[U]热情,,,,,,,,,
1098,be enthusiastic about...,对……充满热情,,,,,,,,,
1099,have enthusiasm for ...,对……充满热情,,,,,,,,,
1100,entire,"adj.全部的,整个的,完全的",,,,,,,,,
1101,entirely,"adv.完全地,彻底地; vt.给…提名; vt.使…有权力使…",,,,,,,,,
1102,entitle,使某人有权做某事,,,,,,,,,
1103,entitle sb to do,使某人有权做某事,,,,,,,,,
1104,entitle sb to sth,使某人有权获得某物,,,,,,,,,
1105,entitled,被命名为……,,,,,,,,,
1106,entrance,"n.进入(入学,入场等); n.入口",,,,,,,,,
1107,entrance fee,入场费,,,,,,,,,
1108,the entrance to the museum,"(1)n进入(的动作); 进入许可; (2)n.入口通道,门厅; (3)n.输入,录入; (4)n.(字典的)词条;(5)n.参赛作品",,,,,,,,,
1109,entry,词条;(5)n.参赛作品,,,,,,,,,
1110,No entry!,禁止入内!,,,,,,,,,
1111,gain entry into ...,获得进入……的权力,,,,,,,,,
1112,data entry,数据录入,,,,,,,,,
1113,envelope,n.信封;封套,,,,,,,,,
1114,envelop,"vt.笼罩,包住,裹住",,,,,,,,,
1115,Fragrant smell has enveloped the whole table.,香气已经笼罩了整个餐桌。,,,,,,,,,
1116,environment,n.环境,,,,,,,,,
1117,environmental,adj.环境的,,,,,,,,,
1118,an environmental group,环保团体,,,,,,,,,
1119,environmentally friendly,环保的,,,,,,,,,
1120,envy,"vt./n.嫉妒,羡慕",,,,,,,,,
1121,out of envy,出于嫉妒,,,,,,,,,
1122,with envy,"嫉妒地,羡慕地",,,,,,,,,
1123,envy sb sth,嫉妒/羡慕某人某物,,,,,,,,,
1124,be the envy of ...,成为……嫉妒/羡慕的对象(目标),,,,,,,,,
1125,China's safety is the envy of many countries.,中国的安全是很多国家羡慕的对象。,,,,,,,,,
1126,envious,"adj.羡慕的,嫉妒的",,,,,,,,,
1127,be envious of...,"嫉妒,羡慕",,,,,,,,,
1128,episode,n.(节目的)一集; n.一段(人生)经历,,,,,,,,,
1129,equal,"adj.等同的; vt.等同于; adj.平等的; 相等的(反: un~); adj.(be ~to)vt.比得上,匹敌; n.同等的人; 可比拟的东西",,,,,,,,,
1130,be equal to,等同于,,,,,,,,,
1131,One hundred millimeters is equal to/ equals one centimeter.,100毫米等于1厘米。,,,,,,,,,
1132,equal rights,平等的权利,,,,,,,,,
1133,equality,n.平等(反: in~),,,,,,,,,
1134,equality between men and women,男女平等,,,,,,,,,
1135,gender inequality,性别不平等,,,,,,,,,
1136,be equal to,"比得上,匹敌",,,,,,,,,
